"Date","Filename","Period","Country/Territory (User location)","Location type","Campaign","Currency","Clicks","Impressions","CTR","Avg. CPC","Cost","Impr. (Abs. Top) ","Impr. (Top) ","Conversions","View-through conv.","Cost / conv.","Conv. rate"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Suriname","Physical location","New App Promotion","USD",12,572,"2.10",0.04,0.47,"0.00","0.00",2,0,0.24,"16.67"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Austria","Physical location","New App Promotion","USD",3,136,"2.21",0.05,0.15,"0.00","0.00",1,0,0.15,"33.33"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Falkland Islands (Islas Malvinas)","Physical location","New App Promotion","USD",0,7,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Turks and Caicos Islands","Physical location","New App Promotion","USD",0,43,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Latvia","Physical location","New App Promotion","USD",3,290,"1.03",0.02,0.06,"0.00","0.00",1,0,0.06,"33.33"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Gibraltar","Physical location","New App Promotion","USD",0,35,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Kosovo","Physical location","New App Promotion","USD",40,1333,"3.00",0.03,1.3,"0.00","0.00",4,0,0.33,"9.76"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Bolivia","Physical location","New App Promotion","USD",139,5106,"2.72",0.04,5.55,"0.00","0.00",21,0,0.26,"15.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Denmark","Physical location","New App Promotion","USD",0,55,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Portugal","Physical location","New App Promotion","USD",36,1554,"2.32",0.03,0.95,"0.00","0.00",3,0,0.32,"8.33"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Costa Rica","Physical location","New App Promotion","USD",31,2151,"1.44",0.04,1.09,"0.00","0.00",1,0,1.09,"3.23"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Kazakhstan","Physical location","New App Promotion","USD",58,3765,"1.54",0.03,1.92,"0.00","71.43",4,0,0.48,"6.56"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Taiwan","Physical location","New App Promotion","USD",7,288,"2.43",0.03,0.22,"16.67","33.33",2,0,0.11,"28.57"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Japan","Physical location","New App Promotion","USD",5,150,"3.33",0.02,0.11,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Albania","Physical location","New App Promotion","USD",26,1295,"2.01",0.03,0.75,"0.00","0.00",6,0,0.13,"20.69"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Tanzania","Physical location","New App Promotion","USD",105,4842,"2.17",0.03,3.53,"100.00","100.00",8,0,0.44,"7.55"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","United States","Physical location","New App Promotion","USD",29,535,"5.42",0.05,1.33,"0.00","0.00",1,0,1.33,"3.45"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","The Gambia","Physical location","New App Promotion","USD",12,465,"2.58",0.03,0.36,"0.00","0.00",3,0,0.12,"25.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Tunisia","Physical location","New App Promotion","USD",123,4916,"2.50",0.03,3.63,"14.29","14.29",17,0,0.21,"12.78"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Uzbekistan","Physical location","New App Promotion","USD",52,4031,"1.29",0.03,1.31,"100.00","100.00",2,0,0.66,"3.57"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Burkina Faso","Physical location","New App Promotion","USD",76,2636,"2.88",0.03,2.64,"0.00","0.00",16,0,0.17,"21.05"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Indonesia","Physical location","New App Promotion","USD",469,24437,"1.92",0.04,18.21,"16.98","73.58",50,2,0.36,"10.66"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Curacao","Physical location","New App Promotion","USD",4,195,"2.05",0.04,0.16,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Zambia","Physical location","New App Promotion","USD",33,3135,"1.05",0.04,1.22,"0.00","100.00",10,0,0.12,"30.30"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","French Polynesia","Physical location","New App Promotion","USD",5,148,"3.38",0.04,0.2,"0.00","0.00",3,0,0.07,"60.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Saudi Arabia","Physical location","New App Promotion","USD",51,3029,"1.68",0.04,2.14,"62.50","62.50",4,0,0.54,"7.84"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Iceland","Physical location","New App Promotion","USD",4,68,"5.88",0.04,0.18,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Ukraine","Physical location","New App Promotion","USD",124,6036,"2.05",0.03,3.59,"27.27","90.91",11,0,0.33,"8.87"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Switzerland","Physical location","New App Promotion","USD",6,233,"2.58",0.05,0.31,"0.00","0.00",1,0,0.31,"16.67"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Equatorial Guinea","Physical location","New App Promotion","USD",9,295,"3.05",0.03,0.24,"0.00","0.00",1,0,0.24,"11.11"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Sint Maarten","Physical location","New App Promotion","USD",0,51,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Svalbard and Jan Mayen","Physical location","New App Promotion","USD",0,5,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Guinea-Bissau","Physical location","New App Promotion","USD",8,177,"4.52",0.03,0.24,"0.00","0.00",3,0,0.08,"37.50"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Faroe Islands","Physical location","New App Promotion","USD",1,36,"2.78",0.03,0.03,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Central African Republic","Physical location","New App Promotion","USD",8,195,"4.10",0.03,0.24,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Greece","Physical location","New App Promotion","USD",72,2556,"2.82",0.03,1.94,"0.00","0.00",4,0,0.48,"5.56"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Anguilla","Physical location","New App Promotion","USD",2,20,"10.00",0.03,0.06,"0.00","0.00",1,0,0.06,"50.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Vietnam","Physical location","New App Promotion","USD",109,8227,"1.32",0.04,4.25,"8.70","86.96",8,0,0.53,"7.27"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Mozambique","Physical location","New App Promotion","USD",72,2843,"2.53",0.03,2.35,"0.00","0.00",10,0,0.24,"13.89"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Reunion","Physical location","New App Promotion","USD",15,853,"1.76",0.03,0.5,"0.00","0.00",1,0,0.5,"6.25"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Fiji","Physical location","New App Promotion","USD",12,487,"2.46",0.02,0.26,"0.00","0.00",1,0,0.26,"8.33"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Myanmar (Burma)","Physical location","New App Promotion","USD",306,8193,"3.73",0.04,11.98,"0.00","100.00",22,0,0.54,"7.17"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Mali","Physical location","New App Promotion","USD",46,1738,"2.65",0.03,1.43,"0.00","0.00",6,0,0.24,"12.77"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Lesotho","Physical location","New App Promotion","USD",3,260,"1.15",0.04,0.11,"0.00","0.00",2,0,0.06,"66.67"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Oman","Physical location","New App Promotion","USD",18,1286,"1.40",0.03,0.54,"0.00","100.00",3,0,0.18,"16.67"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Republic of the Congo","Physical location","New App Promotion","USD",28,1019,"2.75",0.03,0.96,"0.00","0.00",6,0,0.16,"20.69"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Tajikistan","Physical location","New App Promotion","USD",24,1154,"2.08",0.02,0.48,"0.00","0.00",2,0,0.24,"8.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Zimbabwe","Physical location","New App Promotion","USD",19,1599,"1.19",0.04,0.67,"0.00","50.00",1,0,0.67,"5.26"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Laos","Physical location","New App Promotion","USD",105,5320,"1.97",0.02,2.48,"0.00","0.00",12,0,0.21,"10.71"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","South Africa","Physical location","New App Promotion","USD",71,3283,"2.16",0.05,3.5,"0.00","0.00",10,0,0.35,"14.08"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Netherlands","Physical location","New App Promotion","USD",11,706,"1.56",0.03,0.31,"0.00","0.00",1,0,0.31,"9.09"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","South Korea","Physical location","New App Promotion","USD",11,276,"3.99",0.03,0.28,"0.00","0.00",3,0,0.09,"27.27"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Malawi","Physical location","New App Promotion","USD",10,522,"1.92",0.03,0.26,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Haiti","Physical location","New App Promotion","USD",115,4220,"2.73",0.03,2.9,"0.00","100.00",13,0,0.22,"11.02"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Germany","Physical location","New App Promotion","USD",23,490,"4.69",0.04,0.85,"0.00","0.00",1,0,0.85,"4.35"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Martinique","Physical location","New App Promotion","USD",9,533,"1.69",0.03,0.23,"0.00","0.00",1,0,0.23,"11.11"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Jordan","Physical location","New App Promotion","USD",18,1457,"1.24",0.04,0.66,"0.00","0.00",3,0,0.22,"15.79"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Poland","Physical location","New App Promotion","USD",9,474,"1.90",0.02,0.2,"0.00","0.00",2,0,0.1,"22.22"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Monaco","Physical location","New App Promotion","USD",0,1,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Cook Islands","Physical location","New App Promotion","USD",0,14,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Cape Verde","Physical location","New App Promotion","USD",1,126,"0.79",0.02,0.02,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Montserrat","Physical location","New App Promotion","USD",0,9,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Northern Mariana Islands","Physical location","New App Promotion","USD",0,25,"0.00",0,0,"0.00","0.00",0,0,0,"0.00"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Somalia","Physical location","New App Promotion","USD",136,4566,"2.98",0.03,3.85,"0.00","0.00",22,0,0.18,"15.83"
2019-10-20,"User locations - kevin (1).csv","October 13, 2019 - October 19, 2019","Slovakia","Physical location","New App Promotion","USD",5,258,"1.94",0.02,0.09,"0.00","0.00",1,0,0.09,"20.00"
